Fc5.,Fc3.,Fc1.,Fcz.,Fc2.,Fc4.,Fc6.,C5..,C3..,C1..,Cz..,C2..,C4..,C6..,Cp5.,Cp3.,Cp1.,Cpz.,Cp2.,Cp4.,Cp6.,Fp1.,Fpz.,Fp2.,Af7.,Af3.,Afz.,Af4.,Af8.,F7..,F5..,F3..,F1..,Fz..,F2..,F4..,F6..,F8..,Ft7.,Ft8.,T7..,T8..,T9..,T10.,Tp7.,Tp8.,P7..,P5..,P3..,P1..,Pz..,P2..,P4..,P6..,P8..,Po7.,Po3.,Poz.,Po4.,Po8.,O1..,Oz..,O2..,Iz..
60.0,131.0,107.0,57.0,53.0,46.0,16.0,56.0,68.0,56.0,53.0,45.0,29.0,31.0,-24.0,72.0,31.0,36.0,21.0,8.0,39.0,218.0,186.0,177.0,195.0,155.0,121.0,101.0,200.0,81.0,120.0,118.0,109.0,105.0,80.0,103.0,99.0,81.0,66.0,39.0,5.0,31.0,21.0,2.0,19.0,25.0,47.0,50.0,52.0,50.0,15.0,24.0,7.0,19.0,27.0,-2.0,14.0,23.0,29.0,26.0,16.0,-12.0,15.0,17.0
42.0,119.0,97.0,47.0,43.0,39.0,8.0,40.0,55.0,43.0,43.0,34.0,19.0,19.0,-39.0,56.0,17.0,26.0,6.0,-2.0,30.0,208.0,179.0,178.0,192.0,156.0,117.0,102.0,190.0,79.0,116.0,115.0,108.0,103.0,80.0,101.0,96.0,82.0,62.0,42.0,7.0,35.0,-3.0,9.0,13.0,26.0,39.0,41.0,46.0,45.0,12.0,17.0,3.0,15.0,24.0,-7.0,8.0,20.0,25.0,25.0,12.0,-14.0,11.0,17.0
48.0,118.0,99.0,49.0,45.0,41.0,14.0,45.0,58.0,44.0,45.0,37.0,20.0,20.0,-34.0,58.0,20.0,29.0,5.0,-2.0,29.0,202.0,175.0,174.0,179.0,147.0,114.0,102.0,189.0,67.0,114.0,112.0,108.0,103.0,82.0,106.0,101.0,87.0,62.0,47.0,13.0,34.0,-17.0,14.0,11.0,25.0,36.0,38.0,49.0,48.0,15.0,17.0,3.0,12.0,20.0,-8.0,7.0,21.0,24.0,20.0,13.0,-15.0,7.0,15.0
54.0,120.0,103.0,54.0,52.0,46.0,16.0,48.0,64.0,51.0,51.0,43.0,22.0,19.0,-32.0,62.0,27.0,36.0,7.0,-1.0,26.0,195.0,170.0,171.0,174.0,148.0,117.0,106.0,181.0,68.0,121.0,119.0,115.0,110.0,90.0,108.0,103.0,82.0,71.0,45.0,13.0,31.0,19.0,13.0,16.0,24.0,42.0,48.0,54.0,54.0,20.0,21.0,5.0,11.0,17.0,-3.0,14.0,26.0,26.0,16.0,18.0,-12.0,10.0,15.0
64.0,128.0,111.0,63.0,60.0,53.0,20.0,55.0,70.0,60.0,58.0,50.0,27.0,23.0,-25.0,68.0,32.0,43.0,11.0,5.0,30.0,182.0,163.0,159.0,154.0,152.0,116.0,103.0,167.0,76.0,121.0,120.0,119.0,114.0,93.0,109.0,104.0,83.0,72.0,47.0,19.0,34.0,14.0,11.0,21.0,25.0,45.0,54.0,58.0,57.0,22.0,24.0,7.0,11.0,18.0,3.0,16.0,28.0,25.0,17.0,18.0,-12.0,10.0,15.0
56.0,115.0,106.0,59.0,58.0,54.0,18.0,49.0,65.0,56.0,56.0,49.0,30.0,26.0,-27.0,63.0,30.0,40.0,10.0,4.0,32.0,162.0,144.0,148.0,140.0,127.0,105.0,95.0,147.0,62.0,102.0,100.0,109.0,106.0,83.0,102.0,96.0,76.0,55.0,46.0,8.0,30.0,8.0,6.0,10.0,21.0,37.0,47.0,50.0,49.0,16.0,18.0,3.0,5.0,15.0,-5.0,10.0,21.0,21.0,12.0,9.0,-17.0,4.0,8.0
42.0,97.0,100.0,54.0,54.0,48.0,15.0,43.0,60.0,52.0,55.0,47.0,25.0,20.0,-32.0,61.0,29.0,40.0,6.0,4.0,31.0,147.0,127.0,121.0,135.0,114.0,96.0,88.0,119.0,53.0,96.0,95.0,109.0,103.0,83.0,89.0,86.0,64.0,58.0,45.0,8.0,34.0,8.0,7.0,13.0,20.0,41.0,50.0,53.0,52.0,19.0,17.0,4.0,5.0,12.0,-3.0,10.0,23.0,22.0,8.0,14.0,-14.0,3.0,11.0
47.0,101.0,106.0,58.0,56.0,49.0,23.0,48.0,61.0,54.0,57.0,49.0,25.0,25.0,-27.0,63.0,30.0,41.0,3.0,4.0,25.0,138.0,121.0,124.0,120.0,116.0,93.0,78.0,137.0,58.0,97.0,96.0,107.0,102.0,82.0,90.0,87.0,71.0,61.0,52.0,4.0,39.0,8.0,5.0,18.0,15.0,42.0,50.0,51.0,51.0,18.0,17.0,4.0,3.0,4.0,17.0,11.0,24.0,21.0,6.0,17.0,-11.0,4.0,15.0
45.0,99.0,100.0,55.0,55.0,49.0,27.0,47.0,56.0,49.0,55.0,48.0,26.0,29.0,-26.0,63.0,29.0,39.0,7.0,8.0,30.0,130.0,117.0,127.0,116.0,109.0,92.0,84.0,146.0,60.0,91.0,91.0,102.0,98.0,79.0,89.0,84.0,72.0,65.0,49.0,14.0,34.0,-11.0,12.0,13.0,17.0,36.0,44.0,46.0,45.0,14.0,16.0,2.0,3.0,8.0,16.0,4.0,20.0,20.0,11.0,11.0,-10.0,5.0,14.0
32.0,87.0,87.0,43.0,46.0,39.0,13.0,31.0,44.0,36.0,45.0,36.0,16.0,15.0,-42.0,50.0,15.0,27.0,1.0,-2.0,24.0,109.0,99.0,106.0,93.0,88.0,78.0,70.0,110.0,54.0,76.0,74.0,89.0,85.0,66.0,68.0,65.0,52.0,45.0,33.0,-7.0,22.0,-5.0,10.0,-1.0,13.0,23.0,33.0,35.0,34.0,4.0,10.0,-6.0,0.0,8.0,4.0,-2.0,12.0,14.0,11.0,4.0,-14.0,3.0,12.0
