      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[16:15:00.000 12/08/2009]        0     "    0    0    0	## time resolution: 128
[16:15:00.000 12/08/2009]        0          0    0    0
[16:15:00.000 12/08/2009]        0     "    0    0    0	T0 duration: 5.125
[16:15:05.125 12/08/2009]      656     "    0    0    0	T2 duration: 5.125
[16:15:20.500 12/08/2009]     2624     "    0    0    0	T0 duration: 5.125
[16:15:41.000 12/08/2009]     5248     "    0    0    0	T0 duration: 5.125
[16:16:01.500 12/08/2009]     7872     "    0    0    0	T0 duration: 5.125
[16:16:22.000 12/08/2009]    10496     "    0    0    0	T0 duration: 5.125
[16:16:42.500 12/08/2009]    13120     "    0    0    0	T0 duration: 5.125
[16:16:47.602 12/08/2009]    13773     "    0    0    0	T2 duration: 5.125
[16:16:52.797 12/08/2009]    14438     "    0    0    0	T0 duration: 5.125
[16:16:57.898 12/08/2009]    15091     "    0    0    0	T1 duration: 5.125
